step,train_loss,val_loss
1,9.6324,
100,8.8612,8.8251
200,7.7382,7.7275
300,7.5961,7.5952
400,7.5798,7.5843
500,7.5661,7.5393
600,7.4105,7.4688
700,7.3693,7.3899
800,7.3205,7.3344
900,7.3329,7.2872
1000,7.2547,7.2697
1100,7.1933,7.2307
1200,7.1965,7.2113
1300,7.1694,7.1607
1400,7.2134,7.1512
1500,7.1352,7.1518
1600,7.0097,7.1002
1700,7.1035,7.0722
1800,7.0422,7.0888
1900,7.1711,7.0544
2000,7.0011,7.0215
2100,6.9471,7.0053
2200,6.9913,6.9758
2300,7.0377,6.9588
2400,6.9359,6.9010
2500,6.7812,6.7712
2600,6.7877,6.7306
2700,6.7874,6.6883
2800,6.6157,6.6271
2900,6.6214,6.6308
3000,6.5656,6.6026
3100,6.6153,6.5605
3200,6.6853,6.5546
3300,6.4990,6.5180
3400,6.5955,6.4845
3500,6.5099,6.4540
3600,6.5394,6.4500
3700,6.4178,6.4408
3800,6.5149,6.4138
3900,6.3740,6.3938
4000,6.5151,6.3471
4100,6.4548,6.3629
4200,6.3622,6.2709
4300,6.3588,6.2867
4400,6.3342,6.2718
4500,6.1910,6.2471
4600,6.3443,6.2282
4700,6.3444,6.2043
4800,6.2511,6.2048
4900,6.2040,6.2148
5000,6.2130,6.2177
