step,train_loss,val_loss
1,8.4554,
100,6.8041,6.7894
200,5.7240,5.7368
300,5.5624,5.5078
400,5.3972,5.3606
500,5.2666,5.2319
600,5.1041,5.0678
700,4.9417,4.9335
800,4.8239,4.8681
900,4.8101,4.8016
1000,4.7818,4.7476
1100,4.6758,4.6734
1200,4.6451,4.6294
1300,4.6681,4.6174
1400,4.6610,4.5340
1500,4.5553,4.5172
1600,4.5676,4.5022
1700,4.5085,4.4685
1800,4.4765,4.4159
1900,4.3137,4.3969
2000,4.3706,4.3731
2100,4.4848,4.3815
2200,4.4580,4.3658
2300,4.2249,4.3444
2400,4.3480,4.3268
2500,4.3910,4.3071
2600,4.1788,4.3042
2700,4.3173,4.2686
2800,4.2814,4.2609
2900,4.2141,4.2605
3000,4.2881,4.2153
3100,4.1890,4.2206
3200,4.2531,4.2083
3300,4.0875,4.1725
3400,4.2750,4.1587
3500,4.2199,4.1457
3600,4.3131,4.1558
3700,4.2344,4.1524
3800,4.2582,4.1445
3900,4.1927,4.1251
4000,4.1104,4.0978
4100,4.1735,4.0955
4200,4.1818,4.0802
4300,4.1862,4.0817
4400,4.1312,4.0775
4500,3.9896,4.0523
4600,4.1361,4.0419
4700,4.0533,4.0728
4800,4.0812,4.0455
4900,4.0317,4.0486
5000,4.0007,4.0319
5100,4.0211,4.0392
5200,3.8972,4.0430
5300,4.0184,4.0499
5400,4.0352,4.0270
5500,4.0898,4.0003
5600,4.0292,3.9858
5700,4.0035,3.9911
5800,4.0056,3.9696
5900,3.8641,3.9801
6000,3.9051,3.9504
